Driver,Team,BrakingDistance,LapNumber
RUS,Mercedes,133.8288888888885,47.0
RUS,Mercedes,135.22749999999996,48.0
RUS,Mercedes,115.0333333333333,49.0
RUS,Mercedes,143.98722222222204,50.0
ANT,Mercedes,141.10833333333335,4.0
ANT,Mercedes,130.50277777777774,5.0
ANT,Mercedes,121.30416666666656,6.0
ANT,Mercedes,125.24388888888893,7.0
ANT,Mercedes,124.37777777777796,8.0
ANT,Mercedes,146.80222222222233,9.0
ANT,Mercedes,158.287222222222,10.0
ANT,Mercedes,123.65555555555534,11.0
ANT,Mercedes,114.75111111111096,12.0
ANT,Mercedes,107.0736111111114,13.0
ANT,Mercedes,143.17777777777815,14.0
ANT,Mercedes,113.36666666666633,15.0
ANT,Mercedes,137.42527777777786,17.0
ANT,Mercedes,145.5638888888891,18.0
ANT,Mercedes,128.27777777777737,19.0
ANT,Mercedes,128.06972222222248,20.0
ANT,Mercedes,128.24222222222193,21.0
ANT,Mercedes,112.49333333333334,22.0
ANT,Mercedes,154.5013888888891,23.0
ANT,Mercedes,138.25749999999994,24.0
ANT,Mercedes,114.7969444444443,25.0
ANT,Mercedes,124.82222222222231,26.0
ANT,Mercedes,117.70222222222242,27.0
ANT,Mercedes,124.56666666666683,28.0
ANT,Mercedes,137.21055555555563,29.0
ANT,Mercedes,127.72055555555539,30.0
ANT,Mercedes,114.07777777777801,31.0
ANT,Mercedes,118.3119444444444,32.0
ANT,Mercedes,121.25555555555547,33.0
ANT,Mercedes,116.42444444444482,34.0
ANT,Mercedes,109.70444444444456,35.0
ANT,Mercedes,115.94111111111079,36.0
ANT,Mercedes,93.41111111111104,37.0
ANT,Mercedes,118.48888888888905,38.0
ANT,Mercedes,137.54444444444448,39.0
ANT,Mercedes,111.71111111111122,40.0
ANT,Mercedes,112.19111111111147,41.0
ANT,Mercedes,89.26666666666665,42.0
ANT,Mercedes,114.1869444444444,43.0
ANT,Mercedes,118.56666666666638,44.0
ANT,Mercedes,121.87777777777751,45.0
ANT,Mercedes,86.70027777777796,46.0
ANT,Mercedes,110.59999999999991,47.0
ANT,Mercedes,109.45555555555575,48.0
ANT,Mercedes,96.42222222222222,49.0
ANT,Mercedes,114.98194444444448,50.0
LEC,Ferrari,139.13222222222203,4.0
LEC,Ferrari,151.76666666666733,5.0
LEC,Ferrari,107.71083333333331,6.0
LEC,Ferrari,132.45555555555552,7.0
LEC,Ferrari,125.70749999999975,8.0
LEC,Ferrari,122.11111111111109,9.0
LEC,Ferrari,145.74444444444453,10.0
LEC,Ferrari,84.9011111111115,11.0
LEC,Ferrari,143.82222222222208,12.0
LEC,Ferrari,166.44444444444412,13.0
LEC,Ferrari,124.44333333333316,14.0
LEC,Ferrari,136.38305555555553,15.0
LEC,Ferrari,113.65555555555557,17.0
LEC,Ferrari,111.61333333333346,18.0
LEC,Ferrari,104.7444444444443,19.0
LEC,Ferrari,134.4555555555553,20.0
LEC,Ferrari,127.29111111111115,21.0
LEC,Ferrari,133.7102777777775,22.0
LEC,Ferrari,131.5163888888885,23.0
LEC,Ferrari,115.64222222222224,26.0
LEC,Ferrari,108.03333333333376,27.0
LEC,Ferrari,127.28888888888878,28.0
LEC,Ferrari,101.72027777777794,29.0
LEC,Ferrari,128.1419444444441,30.0
LEC,Ferrari,102.69999999999982,31.0
LEC,Ferrari,80.18888888888864,32.0
LEC,Ferrari,100.9716666666668,33.0
LEC,Ferrari,115.37777777777774,34.0
LEC,Ferrari,115.69888888888909,35.0
LEC,Ferrari,119.91111111111081,36.0
LEC,Ferrari,128.78888888888946,37.0
LEC,Ferrari,131.29333333333307,38.0
LEC,Ferrari,124.40000000000009,39.0
LEC,Ferrari,132.62194444444458,40.0
LEC,Ferrari,142.98083333333352,41.0
LEC,Ferrari,136.8461111111112,42.0
LEC,Ferrari,132.3797222222222,43.0
LEC,Ferrari,147.00916666666694,44.0
LEC,Ferrari,129.09444444444466,45.0
LEC,Ferrari,133.32083333333344,46.0
LEC,Ferrari,125.81166666666672,47.0
LEC,Ferrari,130.513611111111,48.0
LEC,Ferrari,130.61111111111063,49.0
LEC,Ferrari,95.1424999999997,50.0
SAI,Williams,157.63138888888875,5.0
SAI,Williams,119.39999999999986,6.0
SAI,Williams,134.0111111111114,7.0
SAI,Williams,120.26527777777778,8.0
SAI,Williams,120.37750000000005,9.0
SAI,Williams,104.6380555555561,10.0
SAI,Williams,99.86666666666679,11.0
SAI,Williams,115.46861111111139,12.0
SAI,Williams,129.24027777777746,13.0
SAI,Williams,121.05416666666656,14.0
SAI,Williams,115.98222222222216,15.0
SAI,Williams,129.30333333333374,17.0
SAI,Williams,103.08527777777772,18.0
SAI,Williams,97.43333333333317,19.0
SAI,Williams,108.37611111111096,20.0
SAI,Williams,96.93333333333362,21.0
SAI,Williams,125.39361111111134,24.0
